證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"4545","銘鈺","1930285","77798125","40.70","41.35","39.30","40.45","-0.0500","1137"
"4551","智伸科","652355","124763276","191.00","193.00","189.00","190.50","2.0000","531"
"4552","力達-KY","234080","8433676","36.15","36.55","35.80","35.85","-0.3500","155"
"4555","氣立","162000","7842600","48.50","48.60","48.20","48.60","-0.1500","22"
"4557","永新-KY","47090","2936251","62.40","62.40","62.10","62.30","0.3000","17"
"4560","強信-KY","197000","8178600","41.55","41.80","41.35","41.50","-0.0500","90"
"4562","穎漢","69088","1139325","16.75","16.75","16.35","16.35","-0.2500","57"
"4564","元翎","234000","6839200","28.95","29.35","28.90","29.35","0.4000","157"
"4566","時碩工業","28000","1059200","38.00","38.00","37.60","37.95","0.0500","22"
"4571","鈞興-KY","32000","2210300","69.20","69.50","68.80","69.50","-0.5000","24"
"4572","駐龍","202417","16851329","81.60","84.90","81.50","82.60","3.6000","192"
"4576","大銀微系統","64686","4918917","76.40","76.40","75.70","76.20","-0.1000","58"
"4581","光隆精密-KY","17000","626850","37.00","37.00","36.85","36.85","0.0000","10"
"4720","德淵","1536046","21392175","13.65","14.25","13.65","13.85","0.5500","705"
"4722","國精化","116851","3270187","28.20","28.20","27.85","28.00","0.1000","74"
"4725","信昌化","129931","2312814","17.80","17.85","17.80","17.80","0.0000","72"
"4737","華廣","23000","1613600","69.60","71.00","69.60","71.00","0.0000","16"
"4739","康普","262829","14588926","55.40","56.00","55.20","55.40","0.4000","209"
"4746","台耀","812969","40290193","49.70","49.80","49.30","49.60","0.0000","485"
"4755","三福化","130109","8865451","67.80","68.60","67.50","68.60","0.9000","80"
"4763","材料-KY","492257","61973881","129.00","129.00","124.50","125.00","-2.5000","402"
"4764","雙鍵","9000","540600","60.00","60.60","60.00","60.60","-0.1000","8"
"4766","南寶","259400","39471974","154.50","154.50","151.50","153.00","2.0000","235"
"4807","日成-KY","32001","946230","29.95","29.95","29.05","29.10","-0.6000","21"
"4904","遠傳","4806841","293452758","61.40","61.50","60.80","61.00","-0.4000","2593"
"4906","正文","13745806","421940438","30.85","31.00","30.20","30.65","-0.2000","5898"
"4912","聯德控股-KY","232101","27956076","122.00","122.50","119.00","120.00","-1.5000","187"
"4915","致伸","5299387","250135757","48.00","48.00","47.00","47.05","-0.5500","3197"
"4916","事欣科","1362252","31733643","23.00","23.40","22.80","23.40","2.1000","532"
"4919","新唐","1872589","79431417","42.05","42.75","41.90","42.35","0.3000","1153"
"4927","泰鼎-KY","3964509","324384182","82.60","82.90","80.50","81.60","-0.2000","2525"
"4930","燦星網","1800735","35208684","19.85","19.95","19.15","19.55","-0.5500","802"
"4934","太極","3922521","107901266","26.85","28.30","26.20","27.75","0.7000","2163"
"4935","茂林-KY","6135709","738671111","121.50","122.50","118.00","118.50","-1.0000","4166"
"4938","和碩","9315840","604934753","65.50","65.50","64.60","65.00","0.0000","4684"
"4942","嘉彰","175672","6835191","39.00","39.10","38.75","38.80","-0.0500","152"
"4943","康控-KY","5012181","454473292","90.50","92.10","89.20","90.10","0.8000","3425"
"4952","凌通","8508062","325043843","38.00","39.25","37.25","38.45","0.9500","5028"
"4956","光鋐","707111","12914488","18.20","18.40","18.15","18.25","0.2000","404"
"4958","臻鼎-KY","4270870","531668180","127.00","127.00","124.00","124.00","-2.0000","2720"
"4960","誠美材","10857478","107565578","10.05","10.15","9.65","9.72","-0.0600","2886"
"4961","天鈺","2117477","79573766","37.75","37.80","37.30","37.55","0.1000","1257"
"4967","十銓","801210","24130380","30.05","30.35","29.85","30.20","0.3500","439"
"4968","立積","13851618","4436113838","319.00","327.50","313.50","322.00","7.0000","10348"
"4976","佳凌","17149505","900992365","51.30","54.90","49.70","54.20","3.2000","9315"
"4977","眾達-KY","1776346","217431334","124.50","125.00","120.00","122.50","-0.5000","1283"
"4989","榮科","154000","2794250","18.50","18.50","18.00","18.15","0.0500","70"
"4994","傳奇","71782","4952541","69.60","70.00","67.80","68.60","-0.8000","65"
"4999","鑫禾","221003","10291788","46.60","46.80","46.45","46.50","-0.1000","160"
"5007","三星","137423","6495459","46.95","47.50","46.65","47.30","0.4000","89"
"5203","訊連","141429","14749315","104.00","104.50","104.00","104.50","1.0000","123"
"5215","科嘉-KY","1878221","288002244","153.00","156.00","151.00","152.00","0.5000","1331"
"5225","東科-KY","254000","7213100","27.75","28.90","27.75","28.65","0.8500","171"
